RID,Age,Gender,Stream,Internships,Btech_CGPA,SSLC_Percentage,PUC_Percentage,Hostel,HistoryOfBacklogs,PlacedOrNot,Salary
A2HU416TBHXYAG,22,Male,Electronics And Communication,1,8,71,98,1,1,1,270000
A20Z9Y3POX1H28,21,Female,Computer Science,0,7,78,78,1,1,1,200000
A1R6GSEASGXJGA,22,Female,Information Technology,1,6,89,67,0,0,1,250000
A1NG1DVC6NXL4W,21,Male,Information Technology,0,8,78,87,0,1,1,320000
A2R60LKYYCDYBM,22,Male,Mechanical,0,8,76,73,1,0,1,425000
A3R4VJELGQJYFS,22,Male,Electronics And Communication,0,6,71,76,0,0,0,
AZIM3X7IHQILD,21,Male,Computer Science,0,7,79,81,0,1,0,
A3KJ80O8SLGJUL,21,Male,Information Technology,1,7,87,84,0,0,0,
A3U3BS4ULCX68Z,21,Male,Computer Science,2,6,91,78,0,0,1,231000
A6NDFZI8IJSG9,21,Female,Computer Science,1,6,78,79,1,0,0,
ARZG63GPPPMDC,22,Male,Computer Science,1,7,92,91,0,0,0,
A3T4BE3PODFSS3,22,Female,Electrical,1,8,93,67,0,1,1,250000
A2SVZ3MR555DYF,21,Female,Computer Science,2,6,91,73,1,1,0,
AQFKSOKQ7WXVC,21,Male,Computer Science,1,8,94,78,0,1,1,218000
A2JFA1NZ6N7VBF,21,Female,Electronics And Communication,2,8,91,79,0,0,1,410000
AY54QSGO3KWEM,22,Male,Mechanical,0,8,90,76,1,0,1,200000
A34LILWGBUXLIJ,22,Female,Computer Science,1,7,89,81,1,0,0,300000
A29LGZHPTDW8B7,21,Male,Civil,0,6,88,68,0,0,0,
AS1FCKNKY95ID,21,Male,Computer Science,1,7,81,70,0,0,0,
A21VSB5FLZ5KLL,22,Male,Computer Science,1,7,86,71,0,0,0,
A241IP0S9QUC4U,22,Male,Civil,0,8,83,76,0,0,1,265000
A2BXMHV2B0QRCM,21,Male,Computer Science,1,6,82,70,0,0,0,
A15WU8GGESQIIQ,22,Male,Civil,0,7,81,75,0,0,0,
AVQIRN6E7J7UA,22,Male,Electronics And Communication,1,7,80,74,0,1,0,
A1GDFWGKJARI4M,22,Male,Electronics And Communication,0,7,76,78,0,0,0,
A32PUB76V2BNII,21,Male,Electrical,0,8,71,79,1,0,1,310000
A1RRMZKOMZ2M7J,22,Male,Electrical,1,8,78,76,0,0,1,240000
A2JQFUFU3ADIV8,22,Male,Information Technology,1,8,69,81,0,0,1,265000
A2962SUPTU1US6,22,Male,Information Technology,1,8,68,70,0,0,1,350000
A2XZC8TX027H2L,21,Male,Information Technology,0,6,76,71,0,0,1,430000
AMCPGM71EFOU7,22,Male,Mechanical,1,8,78,76,1,0,1,250000
A39U7B5ZT37IZH,21,Male,Electrical,1,7,79,70,0,0,1,275000
A11ZOEJY15NTMW,21,Female,Civil,1,7,91,75,0,0,0,
A7GOQWR65H4LY,21,Male,Electrical,0,7,67,74,0,0,0,
A1VO7HA1MQY8SU,21,Male,Computer Science,1,6,68,73,0,0,1,370000
AMLIRJ3CL48W2,21,Male,Information Technology,1,6,69,78,0,0,0,
AMRMK86X3PKXD,22,Male,Civil,0,7,68,79,0,0,1,340000
A2BWJE33YXG4L,22,Male,Computer Science,1,8,70,76,0,0,1,320000
A1WRXBC5YXQYE3,22,Male,Information Technology,1,6,71,81,0,0,0,
A93XHBF57JCAA,22,Male,Electronics And Communication,0,8,76,88,0,1,1,411000
A27YL3ZJ0SDDPJ,22,Male,Electrical,1,6,70,81,0,1,0,
A77VFBEO5F6LB,22,Male,Civil,0,8,75,86,1,0,1,320000
AJRZ2D6I206OX,21,Male,Electrical,1,7,74,83,1,1,1,275000
A3HX1AL08JX9VI,21,Male,Electrical,1,7,73,82,0,0,1,300000
A2QUIWIJEXAS5M,22,Female,Information Technology,2,8,78,81,0,0,1,200000
A3BSVEVBV9RZS2,21,Female,Electronics And Communication,3,6,79,80,0,0,1,275000
A2IKX7H2PLHULP,22,Male,Computer Science,1,8,76,76,0,0,1,275000
A2XJGCX2KT6FA8,21,Male,Electronics And Communication,1,7,81,71,0,1,1,204000
A18LEJPZEFCXHO,21,Male,Information Technology,2,7,88,78,0,0,1,250000
A4HD6D1KFLDCK,21,Female,Electronics And Communication,0,7,81,69,0,0,0,
A2AF1JZ62BOBHV,22,Male,Electronics And Communication,0,8,86,68,0,0,1,200000
ABAQ9SKKJ8Y67,21,Male,Electrical,1,8,83,76,0,0,1,320000
A8RR8YQL7W6G,21,Female,Computer Science,1,8,82,78,1,0,1,410000
AG5FWTUPJPY51,21,Male,Electrical,3,6,81,79,1,1,0,
AWX2C6PPAMFX0,21,Female,Electronics And Communication,3,6,80,91,0,0,1,216000
AN7TFQ6TWUC9I,21,Male,Computer Science,1,7,76,67,0,0,1,220000
AZ5X928CQPRJN,21,Male,Electronics And Communication,0,8,71,73,0,0,1,240000
A3PQLIH8PXWGRW,21,Male,Civil,0,8,78,78,0,0,1,360000
AEO407GROR6JB,21,Male,Electronics And Communication,0,8,69,79,0,0,1,268000
A1YC9TFBGMTHL,21,Female,Electrical,1,8,68,76,0,0,1,265000
A2GQXTYL6DUVBO,21,Male,Computer Science,2,9,76,81,0,1,1,260000
A3428QCT9AR1YO,22,Male,Computer Science,0,8,78,88,0,0,1,300000
AE1ZME0QHI8U,21,Male,Information Technology,0,8,79,81,0,0,1,240000
A7TIWX1I4Y37U,21,Male,Information Technology,0,9,91,86,0,0,1,265000
AKBWTJF7VBCOH,21,Male,Information Technology,1,8,67,83,1,0,1,240000
A21ZF0I9XYXZ0Y,22,Male,Mechanical,0,9,73,82,0,0,1,265000
A2AGO0Y2D350JM,22,Male,Computer Science,1,9,78,81,0,0,1,275000
A1GWWX3POIFOMU,21,Male,Information Technology,0,8,79,80,0,0,1,275000
A3SC2YWFPD2RM2,22,Male,Computer Science,2,9,76,68,0,0,1,265000
A3I5EONKU41MOD,21,Male,Mechanical,0,8,81,70,1,1,1,275000
A20PBV0WIM4KBM,22,Male,Electrical,1,8,88,71,0,0,1,360000
A1JE5UZ4S352NV,22,Male,Information Technology,0,9,81,76,0,0,1,240000
A32D3PHUHP55XX,22,Male,Computer Science,3,9,86,70,0,0,1,240000
AX8Z5VCFJOQB8,21,Male,Information Technology,0,8,83,75,0,0,1,218000
